userName,at,content,score,Label
Denniel Syahrul,2023-12-01 11:49:38,buka,2,Negatif
ghea asmarandhana,2023-12-02 02:27:15,mantap mudah mobilitas guna,5,Positif
Latifah Dena,2023-12-02 07:11:42,aplikasi bantu,5,Positif
Hidup Baru,2023-12-02 07:41:45,mantap,5,Positif
Dika Dewantara,2023-12-02 08:28:09,bantu jam datang kereta mudah saldo kmt antri loket,5,Positif
Putra Miftaul Huda,2023-12-03 03:02:03,suka error,1,Negatif
Farel Iqbal,2023-12-03 05:49:25,unduh tidak bisa buna,1,Negatif
VIKSMARD 25,2023-12-03 19:44:39,daftar spesial bug,1,Negatif
Lilik Andrianto,2023-12-04 10:18:43,beda kai access iya,5,Positif
Kristian Sutoyo,2023-12-05 11:51:15,akses cek kmt daftar coba notif,1,Negatif
Angga Praditya,2023-12-05 12:40:01,tidak jelas banget aplikasi urus,1,Negatif
Agus Gunawan,2023-12-07 10:24:23,capek capek daftar pas masuk akun kendala aneh nyata topup cek doang tolong baik,5,Positif
Deris Rismawan,2023-12-09 01:28:34,buka aplikasi nya jelek,1,Negatif
Rafif Wkwk,2023-12-09 08:09:41,buka aplikasi banget,2,Negatif
Mas Ryan CS,2023-12-10 09:36:19,susah daftar nya kode verifikasi masuk email kayak aplikasi siapp rilis,1,Negatif
Trino,2023-12-10 11:07:35,banget baik cek rute cek harga posisi kereta jam pakai aplikasi klr,1,Negatif
dabella hara,2023-12-11 11:52:16,diinstal buka yaaa,2,Negatif
Aditya Arya Nugraha,2023-12-12 01:25:59,aplikasi tidak jelas bug baru saldo tunda,1,Negatif
Sayang,2023-12-12 02:07:11,metode bayar beli tiket aplikasi dana bank fitur nya mudah,1,Negatif
Fauzan Syahla,2023-12-12 07:38:55,topup cuman lihat rute tarif lebih baik krl mah,1,Negatif
Dian Purnama,2023-12-12 11:04:24,susah log masuk aplikasi nya keluh,2,Negatif
SAEPUL HIZAZ,2023-12-12 11:24:21,mantaap kci,5,Positif
firdaus setiawan,2023-12-13 01:39:01,baru aplikasi buka,1,Negatif
Wahyu Stand,2023-12-13 04:05:21,lelet banget aplikasi nya,1,Negatif
Siti K7706,2023-12-13 09:07:27,coba,4,Positif
Agung Lusi,2023-12-13 10:16:43,jos,5,Positif
the youth pledge,2023-12-13 10:17:27,inovatif,5,Positif
Fandi Irfan Maulana,2023-12-13 10:40:22,puas mudah guna,5,Positif
Riezz Zimmern,2023-12-13 10:49:10,aplikasi bantu,5,Positif
andy seno,2023-12-13 11:01:22,bantu guna kereta commuter line isi ulang kmt hp,5,Positif
Adnan Fiqri,2023-12-13 11:09:21,bantu krl jadwal nya bagus joob,5,Positif
Achmad Agustian Rosyadi,2023-12-13 13:25:56,inovasi terap kembang singkron gopaynyaa mohon realiasikan,5,Positif
Gigih Prasetyo,2023-12-13 21:08:33,mantap,5,Positif
Rusydan Alfin,2023-12-14 12:43:22,fitur fitur optimal lebih lumayan mudah aplikasi krl access moga baru optimal aplikasi mantap,4,Positif
Eko Setiyanto,2023-12-18 12:45:42,kali coba daftar,3,Positif
Adelz 14,2023-12-22 07:51:19,massa isi ulang nfc gagal aplikasi nya,3,Positif
Husnul Khatib,2023-12-23 15:29:53,top up kartu,1,Negatif
Nyaik Mugiyati,2023-12-26 09:58:34,daftar akun password tolak iya angka huruf sebal,3,Positif
Ali Muhlisin,2023-12-29 20:51:54,mudah,5,Positif
Alviano Vian,2023-12-31 03:40:18,unduh pakai tolong baik,1,Negatif
Chandra Aditya,2023-12-31 04:00:36,top up jelek,1,Negatif
Rafael Do Kaka,2023-12-31 15:42:50,commuter line id lihat jadwal kereta stasiun klender manggarai jam jam kereta jadwal stasiun langsung aplikasi kacaw,1,Negatif
Siti Rohmah,2024-01-01 12:41:10,tidak bisa cek saldo kmt sih,2,Negatif
efri julianto,2024-01-01 14:12:39,daftar,1,Negatif
Syamsul Harun,2024-01-02 06:17:17,rekomendasi unduh login aplikasi nya,1,Negatif
Mohamad Richo Abdul Rozaq,2024-01-03 03:10:42,scannya susah baca dari sistem barcode alat scannya sensitif,2,Negatif
Derry Irawan,2024-01-03 04:30:22,aplikasi tidak jelas ngikutin jadwal aplikasi pas stasiun ubah tuju selang ubah suka suka lebih baik hapus aplikasi guna,1,Negatif
Sinshia ds,2024-01-05 12:57:37,jelek kadang,1,Negatif
Nadia,2024-01-06 08:01:54,buka aplikasi loading jam jam heran bikin aplikasi,1,Negatif
Inno Putra,2024-01-06 12:33:43,emang aplikasi ngemudahin metode bayar platform sedianin bank bank isi saldo scanning nya banget bikin mbo iya sing niat aplikasi perintah kalah aplikasi,2,Negatif
Rama A F,2024-01-07 05:01:04,baru fiturnya akses aplikasi makan kuota paksa lancar rusak,1,Negatif
vandra putra,2024-01-08 03:59:27,ok,3,Positif
Alisha Khaira wilda,2024-01-10 11:42:00,bagus kerja,5,Positif
Khoerul Bakri,2024-01-14 11:29:32,tolong baik nya sen tiket error mulu jaring bagus,3,Positif
vidi krishna,2024-01-14 23:01:11,aplikasi sampah top up masuk cs nya slow respon,1,Negatif
Faiz Nizam,2024-01-15 09:27:14,aplikasi,1,Negatif
Saepul Hikam,2024-01-15 10:34:59,aplikasi nya stak logo gamau masuk aplikasi si,1,Negatif
Dau Maj,2024-01-16 01:46:23,bantu jadwal tuju jalan cl,5,Positif
Ade Soleh,2024-01-16 13:36:56,ko buka,3,Positif
Aulia Yusup,2024-01-17 07:59:12,aplikasi nya buka,1,Negatif
Syahira Anjani Putri,2024-01-17 11:11:05,lelet kali umur aplikasi hadeuh tidak bisa buka,1,Negatif
Yuanita Rahmawati,2024-01-18 07:34:55,masuk kendala tolong baik butuh jadwal posisi kereta,1,Negatif
Leo Teguh,2024-01-19 07:01:15,error mele,1,Negatif
Masdi Masdidah,2024-01-19 11:08:27,parah buka aplikasi lelet,1,Negatif
Rian Cak,2024-01-20 06:16:53,bagus,4,Positif
Mas Jawir,2024-01-21 14:52:03,login error muncul notif salah kaya dftar,2,Negatif
Abdul Aziz Ardiansyah,2024-01-21 14:55:20,bagus cek saldo kartu trip krl,5,Positif
Nano Aja,2024-01-22 09:07:50,bantu terima kasih,5,Positif
Bincar Halomoan,2024-01-23 04:33:49,lelet aplikasi top up kmt,1,Negatif
Jupri Almairaky,2024-01-23 05:46:13,aplikasi manfaat saran mohon tambah metode bayar gopay iya kak pilih,5,Positif
Indra Wijaya,2024-01-24 00:20:46,aplikasi jls,1,Negatif
Almha Shintia,2024-01-24 08:16:17,buka aplikasi nya sinyal kuat telkomsel goblok bikin aplikasi hp ram,1,Negatif
Rahmat Abdullah,2024-01-24 23:13:06,mantap aplikasi,5,Positif
AA TOI,2024-01-25 01:37:20,atinggal verifikasi lamamya ampun,1,Negatif
Dinda Mahdalena,2024-01-25 02:11:44,banget nunggu kode otp nya,2,Negatif
Ibnu ihsan,2024-01-25 03:18:21,aplikasi coba unduh perangkat hp buka aplikasi,1,Negatif
Devi Rusmila,2024-01-25 05:43:12,masuk verifikasi email verifikasi masuk gilir dimasukin expired hadeh masuk gin,3,Positif
Adi Darmawan,2024-01-25 09:40:24,akses buka lihat jadwal,3,Positif
Akun Ku,2024-01-25 09:58:37,performa beda versi,1,Negatif
Ahmad Sofian,2024-01-25 10:03:06,lelet copot langsung,1,Negatif
Tio Prasetya Putra,2024-01-26 09:31:44,aplikasi gila susah buka nya bikin aplikasi emg kaya,1,Negatif
Sri Handayani,2024-01-26 09:47:31,aplikasi suka error iya lancar tolong,2,Negatif
jeongwoo lipaa,2024-01-29 13:52:08,tolong kembang buka aplikasi buka sinyal buka manggarai cek buka aplikasi terima kasih,5,Positif
Jajang Channel (Jajang Orock menes),2024-01-30 04:19:41,rute aplikasi jabodetabek bantu,1,Negatif
Nuraini Rahayu,2024-01-31 05:39:24,tidak jelas bgtt top up saldo kmt potong gopay masuk jugaa,1,Negatif
toni g,2024-02-04 09:56:56,hoy baik it bumn bodoh,1,Negatif
Rigas Saputra,2024-02-06 02:15:19,bagus bantu mudah jalan kereta api praktis antri bayar cek saldo stasiun kereta api pulang pergi kereta api indonesia wajib banget unduh deh aplikasi nya khusus fitur nfc iya hp kartu multifungsi pakai transaksi mrt busway keren,5,Positif
Sri Yuliarsih,2024-02-06 05:13:22,bantu,5,Positif
Abudzar 2544,2024-02-06 10:16:25,jadwal kereta real sesat jalan ganggu tinggal kakak lokal merak,1,Negatif
Saiful Hamiwanto,2024-02-07 12:36:35,aplikasi lumayan bagus informatif sayang lelet stasiun stasiun manggarai moga baik,2,Negatif
Mailvin Pradana putra hermanto,2024-02-08 05:52:15,buruk jaring lelet ganggu mulu,1,Negatif
Mitha Safitrii,2024-02-08 13:06:49,aplikasi error tetap foto profil hubung gopay simpan ubah data lengkap profil tolong baik,1,Negatif
raihan alfareza,2024-02-08 14:30:49,aplikasi nya kali unduh pas buka ngestuck flash screen jalan dipake pasang ngestuck ksh dehh dvc redmi catat snapdragon adreno buka available ram gb,1,Negatif
Supian Hadi,2024-02-08 23:27:49,ok,5,Positif
Banon Luhur,2024-02-09 09:25:13,buka tolong baik,1,Negatif
rohmi japar,2024-02-09 23:18:43,bagus aplikasi krl acces digunain iya asyeek mohon tingkat,3,Positif
Nur Hadiy,2024-02-10 05:35:43,guna aplikasi nya buka aplikasi nya sulit,1,Negatif
A Profile,2024-02-10 14:18:27,aplikasi dikit dikit akses,3,Positif
Rita Atari,2024-02-10 15:05:20,fiturnya bagus bantu aplikasi lelet banget loading kadang nama stasiun nya temu sinyal bagus mohon kembang iya,3,Positif
Muhammad Nazril Taufik,2024-02-11 04:53:51,buka aplikasi nya,1,Negatif
Tiara nandita,2024-02-11 05:40:45,unsinstall buka layar mulu bug,1,Negatif
Sabtiyo,2024-02-11 06:21:35,aplikasi milih milih hp,1,Negatif
eLkribo kribo,2024-02-11 12:24:27,stasiun daru jadwal kereta tanah abang jam jarak nya contoh jam jam jarak nya tolong jarak jam nya contoh jam jam,1,Negatif
Idk How,2024-02-12 12:20:31,kadang suka banget buka aplikasi tidak bisa buka ganti data wifi lanjay,4,Positif
Nurmayanti Rahayu,2024-02-12 14:19:36,unduh buka pas unduh buka payah aplikasi nya nunggu menit sampe menit buka buka,2,Negatif
Maulana Yusuf,2024-02-14 13:23:46,loading sumpahin bangkrut,1,Negatif
Norman Mulyana,2024-02-14 16:48:24,login akun coba yah,1,Negatif
Halim Himawan,2024-02-18 07:45:29,stuck loading buka aplikasi,1,Negatif
ANDRIAN RAPON,2024-02-18 15:18:42,daftar,1,Negatif
Topik,2024-02-19 14:25:02,top up kmt iya top up kmt iya,3,Positif
Novitasari,2024-02-20 02:42:52,e wallet nya gopay iya admin,4,Positif
Cecep Kuswandi,2024-02-22 03:56:20,akses,2,Negatif
Hondablade Bekasiclub,2024-02-22 11:50:43,aplikasi lelet masuk,1,Negatif
Maulana Kurniawan,2024-02-26 13:40:23,topup gagal menu top up kmt mohon baik info nya mudah,4,Positif
Iflah Hussein,2024-02-26 15:33:00,aplikasi cacat top up gagalterus,1,Negatif
Restoran Jakarta,2024-02-26 21:21:45,mutu aplikasi,1,Negatif
M.Wahyu Anwar,2024-02-28 15:23:23,aplikasi guna kabanyakan buff susah cek saldo topup,1,Negatif
Yoga Mei Wantara,2024-03-01 06:54:20,repot cek isi saldo hilang contact,3,Positif
arif Friyanda,2024-03-01 08:46:14,ngk top up saldo kmt baru error,2,Negatif
Rifal Saputra,2024-03-01 13:51:56,gagal cek saldo kmt,2,Negatif
Hidayatur Rachman,2024-03-01 17:43:00,service unavailable niat hati isi ulang saldo apa daya aplikasi dukung guna aplikasi mobile solusi,1,Negatif
Dio Brando,2024-03-02 17:04:57,bantu,5,Positif
Alifa Alifaku,2024-03-02 19:57:12,pesan tiket,3,Positif
Erlangga Dewantara,2024-03-03 04:35:08,top up kmt gagal,2,Negatif
Ahmad Sulistiyanto,2024-03-03 05:07:01,kadang error,1,Negatif
Abdul fatah,2024-03-03 12:09:31,error mulu kemarin,1,Negatif
apparus Sion,2024-03-03 15:04:27,buka cek jadwal aplikasi kacau kereta jadwal sungguh mundur,1,Negatif
Kyousuke Hasegawa,2024-03-04 12:05:02,tolong cek baik bug nya parah lanjut tingkat produksi baru hapus cache data aplikasi pasang ulang langsung masuk akun login enak sih segi aman praktik buruk baru coba loading home fungsi cek saldo fungsi invalid token riwayat jalan kosong cek saldo topup,2,Negatif
ghacoets,2024-03-04 14:16:15,cek saldo invalid kartu cek pakai aplikasi baca nfc ngk sx,1,Negatif
Novian Rifanto,2024-03-04 16:17:01,nya top up saldo bangkai aplikasi nya jual mie ayam,1,Negatif
Rizky Pandians,2024-03-05 07:05:28,fitur top up nfc fungsi,2,Negatif
buyung hilmansyah,2024-03-05 10:28:46,daftar ribet passwordnya rumit jelimet mah penting ribet data vital,2,Negatif
Varinda Syahilla,2024-03-05 11:38:28,isi kmt unvaibel ntr detect kartu jaring dan lain lain bagus niat biar sat set bikin males tolong baru iya,1,Negatif
Ajeng Rahmat,2024-03-06 11:37:20,si error baik males abang antre buruburu,2,Negatif
Li Bertus,2024-03-06 16:53:28,aplikasi tolol,1,Negatif
M Ramzi 050,2024-03-07 07:20:29,top up kmt hasil bayar saldo kmt gakeisi,1,Negatif
Pradikha Pratama,2024-03-07 10:53:36,tidak bisa hubungin gopay busuk,1,Negatif
Wahyu black,2024-03-08 09:42:16,bantu atur jadwal,5,Positif
Wanz ID,2024-03-08 10:56:52,error nfc kmt cek saldo top up,1,Negatif
Andre Pahlevi,2024-03-08 11:59:17,gara gara aplikasi error jam gagal berangkat stasiun balap solo maguwoharjo jogja kecewa pesan aplikasi,1,Negatif
Rakha Ganesha,2024-03-08 13:09:13,sistem nya bagus login,1,Negatif
Literally Aim,2024-03-08 13:22:27,aplikasi bug cek jadwal,1,Negatif
Muhammad Fathoni,2024-03-08 14:20:35,cek saldo kartu detect gopay taut topup tolong baik guna banget guna aktif krl,1,Negatif
ひろなかわぬら,2024-03-08 16:46:50,sulit login ganggu kacauu balauu,1,Negatif
Dody Maryono,2024-03-08 21:00:27,guna,1,Negatif
Hesti Dwi Astuti,2024-03-09 08:21:55,ganggu tidak bisa cek jadwal berangkat,1,Negatif
Meta Aditya,2024-03-09 13:43:40,akses pagi,2,Negatif
Suyadi Yadi,2024-03-09 16:39:07,aplikasi pakai,1,Negatif
Heru tirta Mulya,2024-03-09 21:34:37,aplikasi sampah aplikasi guna,1,Negatif
mufit Kurniawan,2024-03-09 22:27:17,tolong baik baru saldo unaivable,1,Negatif
R i k a.,2024-03-09 23:48:00,tolong perhati aplikasi daftar ganggu mulu kemarin,2,Negatif
Insan Deli,2024-03-10 04:30:31,guna daftar,1,Negatif
Ainur Ridho,2024-03-10 05:07:44,aplikasi sampah guna,1,Negatif
irpan ependi,2024-03-10 05:41:19,error,1,Negatif
ifachri 52,2024-03-10 10:46:36,daftar kali ganggu mulu jaring bagus tolong baik kaya gin nya bikin praktis nyusahin,1,Negatif
Adhityo Firdaus Putra,2024-03-10 13:27:26,adhityofirdausputra,5,Positif
rizky pratama,2024-03-10 14:01:50,lihat jadwal error sih guna dikit,1,Negatif
Sapto Winarno,2024-03-10 22:06:10,susah buka,2,Negatif
Ranti Laraswati,2024-03-10 22:54:26,hubung ewallet kasih metode bayar mbanking loading lambat tolong baik,3,Positif
Eno Eno Arbye,2024-03-11 02:34:31,error normal,1,Negatif
Aji Cahyono,2024-03-11 03:57:41,aplikasi nya masalah,1,Negatif
Afsheen Mauri,2024-03-11 08:22:51,informasi banding aplikasi krl accses,2,Negatif
Herry Creator,2024-03-11 08:34:45,si baru buka parah,1,Negatif
Alya Meutia Nida,2024-03-11 09:04:35,dih anjing error mulu,2,Negatif
Tuhi Aziza,2024-03-11 12:23:45,aplikasi error,1,Negatif
Kukuh Napaki,2024-03-11 15:21:59,bobrokkk,1,Negatif
Isti Febriani,2024-03-11 23:12:20,aplikasi buruk tolong baik,2,Negatif
Himejima Akeno,2024-03-12 11:20:20,daftar akun gagal,1,Negatif
carwiyah lengek,2024-03-12 13:32:57,baik mulu parah aplikasi kacau,1,Negatif
Untuk Puisiku,2024-03-12 16:08:50,gaa ngelegg mulu aplikasi nyaa,1,Negatif
Muhamad Akbar,2024-03-12 21:31:21,aplikasi buruk,1,Negatif
Lisa Damay,2024-03-12 23:53:01,hadeuh aplikasi error cek jadwal berangkat susah,2,Negatif
Cut Hamidah,2024-03-13 02:52:48,bayar pakai e wallet parah btul aplikasi,1,Negatif
Andres Purnomo,2024-03-13 05:03:11,aplikasi ganggu mulu daftar ganggu niat pakai aplikasi sih,1,Negatif
Hendry Alzabry,2024-03-13 05:07:24,parah lihat posisi jadwal kereta,1,Negatif
Angga Wahyu Saputra,2024-03-13 05:56:12,ganggu,1,Negatif
Budi Suryaman,2024-03-13 07:12:40,eror lammmma mulu,1,Negatif
Ari Pratama,2024-03-13 07:42:05,tolong baik,1,Negatif
Dian Saputra,2024-03-13 12:14:22,layan bagus tolong baik,1,Negatif
Rizal Afif Pangestu,2024-03-13 13:05:32,baru ngestak mulu,1,Negatif
Bemby Alan,2024-03-13 21:43:23,bikin password ribet karakter spesial isi karakter tidak bisa,1,Negatif
DAMAN HIU,2024-03-14 04:16:16,tidak bisa akses,1,Negatif
S Novianto,2024-03-14 06:27:24,ganggu masuk,1,Negatif
Aldi Rizaldy,2024-03-14 11:27:07,ganggu aneh,1,Negatif
rachmat susanto,2024-03-14 16:23:53,aplikasi sampah cek jadwal tidak,1,Negatif
Aprilla Ayu,2024-03-14 22:56:55,aplikasi susah akses stasiun kereta commuter perhati contoh stasiun cibinong toilet sana wanita pria wanita cenderung buang air ibu hamil lanjut usia toilet nya jongkok akses kesana tangga sulit disabilitas lanjut usia peron jarak lutut dewasa sulit disabilitas lanjut usia tolong perhati,2,Negatif
Putri ayu salsabila,2024-03-14 23:16:12,astagaa berharj tidak bisa buka loh cek posisi sm jdwl kereta tidak bisa buka copot pemberitahuan nya error coba copot unduh sedang trnyta tidak bisa mlh aplikasi nya tidak bisa buka tolong baik,2,Negatif
Gemol Bontoh,2024-03-15 09:55:53,stasiun nambo da,1,Negatif
Lilis Riyanti,2024-03-15 13:36:10,baru log tidak bisa log masuk,1,Negatif
Christian Schouten,2024-03-16 00:15:36,hp buka iya buka iya kali copot pasang ulang buka coba buka tulis coba iya,1,Negatif
RudieDerma1,2024-03-16 10:27:22,woi aplikasi daftar tidak masuk email valid mulu nya email dipake ganti email respon nya developer nya sehat tidak wkwkwkw,1,Negatif
Penguasa Asia,2024-03-16 14:35:55,daftar akun,1,Negatif
Ridwan Firdaus. M,2024-03-16 21:35:27,aplikasi error minggu lihat jadwal,2,Negatif
Via Octaviana,2024-03-17 02:46:59,b r,1,Negatif
Arif Setyo Wibowo,2024-03-17 06:33:53,tolong developer topup mencet tombol baru masuk saldo alam barusan topup sukses go jek pencet tombol baru saldo saldo masuk lontong bang lanjur moga baru iya bang tengs,5,Positif
Ridwan Sibungsu,2024-03-18 01:04:37,masalah,1,Negatif
Maulida,2024-03-18 01:14:02,banget error payah,1,Negatif
Fadlan Ramadhan,2024-03-18 01:21:36,bad aplikasi banget errornya,1,Negatif
Lusand Telehala,2024-03-18 03:18:39,baru iya,4,Positif
ACHMAD NUR SUWARGONO,2024-03-18 16:04:37,error buka aplikasi nya,1,Negatif
Fajar Haerulloh,2024-03-18 17:57:40,aplikasi dikit dikit error sat set sat set mohon baik,1,Negatif
Puri Yogyantoro,2024-03-19 03:06:49,habis baru buka,1,Negatif
Deby Pramana,2024-03-19 22:45:57,baca kartu baru aneh kesini kesana buruk kembang kembang bug asli nyampah,1,Negatif
Intan Hardiyanti,2024-03-20 14:20:40,guna errors,1,Negatif
Alvina Septianda Fardita,2024-03-20 14:20:59,masuk error,1,Negatif
yuddie ichek,2024-03-20 16:12:56,tidak buka,1,Negatif
Firdaus,2024-03-21 01:38:16,aplikasi main toko pakai bikin aplikasi,1,Negatif
Arsamin 90,2024-03-21 05:32:10,apaaan aplikasi ko pungsi,2,Negatif
Yusnia Rahmania,2024-03-21 23:29:42,baru saldo kartu copot moga bug gin iya ribet desak butuh saldo,3,Positif
Dwiky Dharmawan,2024-03-22 10:37:32,maintenance mulu aplikasi nya buja,1,Negatif
Riky Apriyadiman,2024-03-22 23:27:21,payah nyari jadwal kereta stasiun tidak bisa,2,Negatif
Herman Oyag,2024-03-23 16:01:22,aplikasi ganggu dowdload,1,Negatif
Muhamad Vito Ananta,2024-03-24 20:20:02,susah akses,1,Negatif
Solikin Sragen,2024-03-25 03:19:12,buka,1,Negatif
Mardi junaedi,2024-03-25 09:55:50,aplikasi bermasah,1,Negatif
Syaiful Herpian,2024-03-25 15:02:25,error mulu tidak bisa login,1,Negatif
Khoirun Nadia,2024-03-25 17:25:54,unduh bantu log masuk teruss hp susah sinyal emang aplikasi bagus pasang copot tetep kaya tolong baik,1,Negatif
putrief eff,2024-03-26 08:43:30,error mulu,2,Negatif
Ikii ajjahh,2024-03-27 02:06:56,buka mulu salah,1,Negatif
Permata _,2024-03-27 12:40:14,uang hilang grgr top up kartu aplikasi pas stasiun tugas nya multitrip tidak bisa top up pakai nfc sebel lumayan tarik dipake alhasil isi sedang,1,Negatif
Putra Alfendo,2024-03-27 12:44:00,bagus,5,Positif
Grow Ther,2024-03-27 20:39:37,sumpah aplikasi niat aplikasi niat mudah hasil sulit tutup aplikasi nya guna banget dikit error dikit salah login cek saldo lihat jadwal kreta muncul muncul notifikasi salah pemberitahuan aplikasi nya gin mohon ma af developer malas baru layan aplikasi,1,Negatif
Restu SF KUNINGAN,2024-03-27 23:19:37,aplikasi nya jelek suka error tolong diperbaikin,1,Negatif
Septiani Ayu Rosita,2024-03-28 07:50:39,kali rating aplikasi sekesel c access error mulu akses mah lebih baik krl access deh tampilannnya jelek error mulu,1,Negatif
Denis Haryanto,2024-03-28 11:19:46,bagus informatif,5,Positif
SAPTO EDI WIBOWO,2024-03-28 12:26:56,mantap,5,Positif
Afrizal Izal,2024-03-28 12:38:26,aplikasi pea cek saldo kmt,1,Negatif
Ahmad tsaqib “Ami” Fahmi,2024-03-29 02:31:44,sampe error dipake,1,Negatif
Nur A.,2024-03-30 02:10:36,masuk aplikasi,1,Negatif
Fadlan Farabi,2024-03-30 10:41:59,aplikasi rusak lihat fitur posisi kereta error fitur posisi kereta,1,Negatif
Taufik Kurohman,2024-03-31 22:27:53,aplikasi tolol,1,Negatif
Zulfachri Fauzan,2024-04-01 01:33:34,aplikasi error jadwal,1,Negatif
Thannarief,2024-04-01 10:53:37,weh tolong login alas salah password ganti password,1,Negatif
Myloser Me,2024-04-01 11:55:39,baru buka parah banget aplikasi,1,Negatif
Maulana Seto,2024-04-02 01:26:58,aplikaai buruk rupa masuk error muly,1,Negatif
Haryo Adi Prakoso,2024-04-02 09:32:49,aplikasi akses mohon perhati tingkat layan,1,Negatif
dimas ismawan abdullah,2024-04-02 09:34:11,error mulu,1,Negatif
Hendra Adi Putra,2024-04-02 11:06:48,payah bagus aplikasi krl akses susah banget cari stasiun area lokasi stasiun cek jadwal posisi kereta,1,Negatif
Nununananan min,2024-04-03 11:49:51,jelasss,1,Negatif
miftahul jannah,2024-04-03 14:41:41,aplikasi banyak bug nya heran banget,2,Negatif
Herul Ajhar,2024-04-04 05:21:00,parah kaya aplikasi nya,1,Negatif
Nur Rizal (Rizal),2024-04-04 11:56:18,bantu,5,Positif
Monika Julianti,2024-04-04 22:03:00,sampe ganggu,1,Negatif
krishna yogara,2024-04-05 02:17:14,yah coba f,2,Negatif
Neptunus,2024-04-05 07:46:28,bantu bantu bantu,1,Negatif
Xo storyes,2024-04-05 13:42:01,buka check jadwal pas buka tulis yah mas,2,Negatif
Ade Irfan Maulana Irfan,2024-04-05 13:47:52,aplikasi error iya di buka,1,Negatif
Alif Daffa Hernanda,2024-04-06 01:38:20,gausah bikin aplikasi error optimal situs base,1,Negatif
yunia sulasih,2024-04-06 13:55:08,cek saldo pakai nfc lgs nyambung top up pakai gopay lgs akumulasi saldo,4,Positif
Ihsan Firdansah,2024-04-07 16:11:54,aplikasi lebih baik deh banget bug nya,1,Negatif
Andi Permana,2024-04-08 09:52:19,aplikasi nya buka,1,Negatif
